_id,name,rel,customer,newCol1,newCol2,status,orderType,config,platform,accType,testedBy,submissionReason,reqDate,submissionDate,startDate,endDate,rolloverDate,rolloverDays,rolloverDaysH,waitingDays,waitingDaysH,testingDays,testingDaysH,reportNo,releaseDate,reviewedBy,codeCompare,newFW,tBugs,is_delete,user_id,date,__v
66ff8d975fd9b4586d603525,COC58.00 ,1.0,WBSEDCL,WBSEDCL ,Bi-direction,Exp Next Itr,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,SFF,TVM LT WC,VK,bug fixed,2024-07-11T00:00:00.000Z,2024-07-26T00:00:00.000Z,2024-07-29T00:00:00.000Z,2024-07-30T00:00:00.000Z,2024-08-01T00:00:00.000Z,2.0,2.0,4.0,1.0,2.0,2.0,0,1970-01-01T00:00:00.000Z,SAN,0,0,0.0,False,66ff8d975fd9b4586d603525,0,0
66ff8d975fd9b4586d603526,COT76.00,1.0,TPL,AGRA,0,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,M3R,TVM LT WC,BHR,New firmware,2024-07-25T00:00:00.000Z,2024-07-25T00:00:00.000Z,2024-07-26T00:00:00.000Z,2024-07-31T00:00:00.000Z,1970-01-01T00:00:00.000Z,0.0,0.0,2.0,1.0,6.0,4.0,0,1970-01-01T00:00:00.000Z,0,0,0,0.0,False,66ff8d975fd9b4586d603526,0,0
66ff8d975fd9b4586d603527,COC57.00 ,4.0,WBSEDCL,WBSEDCL ,sampark,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,SFF,TVM LT WC,DK,bug fixed,2024-06-12T00:00:00.000Z,2024-07-25T00:00:00.000Z,2024-07-26T00:00:00.000Z,2024-07-26T00:00:00.000Z,1970-01-01T00:00:00.000Z,0.0,0.0,2.0,1.0,1.0,1.0,0,1970-01-01T00:00:00.000Z,0,0,0,0.0,False,66ff8d975fd9b4586d603527,0,0
66ff8d975fd9b4586d603528,RH46.03,0.0,Adani,APDCL,0,Withdrawn,DLMS Order,"1Ph 5-30A , Cl.1.0",CYGNUS,SMART,0,CR changes,2024-07-25T00:00:00.000Z,2024-07-25T00:00:00.000Z,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z,0.0,0.0,0.0,0.0,1.0,0.0,0,1970-01-01T00:00:00.000Z,0,0,0,0.0,False,66ff8d975fd9b4586d603528,0,0
66ff8d975fd9b4586d603529,nLo064.00,0.0,Adani,APCPDCL,4G,Subs Itr rel,DLMS Order,"3P4W LTCT 240V 5-10A,",NORTEM,SMART,NB,nLo057.06 Firmware modified for serial number format,2024-07-26T00:00:00.000Z,2024-07-26T00:00:00.000Z,2024-07-29T00:00:00.000Z,2024-08-02T00:00:00.000Z,1970-01-01T00:00:00.000Z,0.0,0.0,4.0,1.0,5.0,5.0,0,1970-01-01T00:00:00.000Z,0,0,0,0.0,False,66ff8d975fd9b4586d603529,0,0
66ff8d975fd9b4586d60352a,HHo002.13,13.0,Techno,MPPKVVCL Indore ,0,Released,DLMS Order, 3P4W HTCT Cl 0.2 5-10A,NORTEM,SMART,DK,CR changes and checklist,2024-07-26T00:00:00.000Z,2024-07-26T00:00:00.000Z,2024-08-09T00:00:00.000Z,2024-08-12T00:00:00.000Z,2024-08-13T00:00:00.000Z,1.0,1.0,15.0,8.0,4.0,3.0,QER- 109091(2),2024-08-14T00:00:00.000Z,SS,0,0,0.0,False,66ff8d975fd9b4586d60352a,0,0
66ff8d975fd9b4586d60352b,CBO014.02,0.0,Techno,MPPKVVCL Indore ,0,Released,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,CHRONAS,SMART,VN,CR changes and checklist,2024-07-26T00:00:00.000Z,2024-07-26T00:00:00.000Z,2024-07-31T00:00:00.000Z,2024-08-01T00:00:00.000Z,2024-08-05T00:00:00.000Z,4.0,2.0,6.0,3.0,2.0,2.0,QER-109118(1),2024-08-06T00:00:00.000Z,AM,yes,0,0.0,False,66ff8d975fd9b4586d60352b,0,0
66ff8d975fd9b4586d60352c,CAO013.02,0.0,Techno,MPPKVVCL Indore ,0,Released,DLMS Order, 3P4W LTWC Cl 1.0 10-100A,CHRONAS,SMART,ABK,CR changes and checklist,2024-07-26T00:00:00.000Z,2024-07-26T00:00:00.000Z,2024-08-12T00:00:00.000Z,2024-08-14T00:00:00.000Z,2024-08-19T00:00:00.000Z,5.0,3.0,18.0,7.0,3.0,4.0,QER-109203,2024-08-20T00:00:00.000Z,SS,0,0,0.0,False,66ff8d975fd9b4586d60352c,0,0
66ff8d975fd9b4586d60352d,nLo031.17,17.0,Techno,MPPKVVCL Indore ,DI,Released,DLMS Order,"3P4W LTCT 240V 5-10A,",NORTEM,SMART,SS,CR changes and checklist,2024-07-26T00:00:00.000Z,2024-07-26T00:00:00.000Z,2024-07-30T00:00:00.000Z,2024-08-02T00:00:00.000Z,2024-08-05T00:00:00.000Z,3.0,1.0,5.0,2.0,4.0,4.0,QER-109092(2),2024-08-08T00:00:00.000Z,SAN,0,0,0.0,False,66ff8d975fd9b4586d60352d,0,0
66ff8d975fd9b4586d60352e,nLo030.16,16.0,Techno,MPPKVVCL Indore ,(w/o DI),Released,DLMS Order,"3P4W LTCT 240V 5-10A,",NORTEM,SMART,VN,CR changes and checklist,2024-07-26T00:00:00.000Z,2024-07-26T00:00:00.000Z,2024-08-28T00:00:00.000Z,2024-09-02T00:00:00.000Z,1970-01-01T00:00:00.000Z,0.0,0.0,34.0,18.0,6.0,4.0,109116(1),2024-09-02T00:00:00.000Z,BHR,0,0,0.0,False,66ff8d975fd9b4586d60352e,0,0
